Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,1000
1,0,2,188,1000
2,0,31,347,1000
3,0,219,347,1000
4,0,407,347,1000
5,0,595,347,1000
6,0,653,347,0
7,0,653,347,0
8,0,653,347,0
9,0,653,347,0
10,0,653,347,0
11,0,653,347,0
12,0,653,347,0
13,0,653,347,0
14,0,653,347,0
15,0,653,347,0
16,0,653,347,0
17,0,653,347,0
18,0,653,347,0
19,0,653,347,0
20,0,653,347,0
21,0,653,347,0
22,217,653,130,1000
23,217,653,130,1000
24,217,653,130,1000
25,217,653,130,1000
26,217,653,130,1000
27,217,653,130,1000
28,217,653,130,1000
29,217,653,130,1000
30,217,653,130,1000
31,217,653,130,1000
32,217,653,130,1000
33,217,653,130,1000
34,217,540,243,1000
35,217,395,388,1000
36,217,395,388,1000
37,217,395,388,1000
38,217,395,388,1000
39,217,395,388,0
40,217,395,388,0
41,217,395,388,0
42,218,395,387,0
43,346,395,259,0
44,346,395,259,0
45,346,395,259,1000
46,346,395,259,1000
47,346,395,259,1000
48,346,395,259,1000
49,347,395,258,1000
50,347,395,258,1000
51,347,395,258,0
52,347,395,258,0
53,347,395,258,0
54,364,395,241,0
55,440,395,165,1000
56,440,395,165,1000
57,440,395,165,1000
58,440,395,165,1000
59,440,395,165,1000
60,440,395,165,1000
61,440,395,165,1000
62,440,395,165,1000
63,567,395,38,1000
64,567,395,38,1000
65,569,395,36,1000
66,569,395,36,1000
67,569,395,36,1000
68,569,250,181,1000
69,570,250,180,1000
70,571,0,429,1000
71,571,0,429,1000
72,571,0,429,1000
73,571,0,429,1000
74,571,0,429,1000
75,605,0,395,0
76,605,0,395,0
77,605,0,395,0
78,605,0,395,0
79,605,0,395,0
80,605,0,395,0
81,605,0,395,0
82,605,0,395,0
83,605,0,395,0
84,605,0,395,0
85,605,0,395,0
86,605,0,395,0
87,605,0,395,0
88,605,0,395,0
89,750,0,250,0
90,750,0,250,0
91,750,0,250,1000
92,795,0,205,1000
93,795,0,205,1000
94,795,0,205,1000
95,795,0,205,1000
96,828,0,172,1000
97,828,0,172,1000
98,830,0,170,1000
99,830,0,170,1000
100,830,0,170,1000
101,830,0,170,1000
102,830,0,170,1000
103,830,0,170,1000
104,830,0,170,1000
105,830,0,170,1000
106,830,0,170,1000
107,830,0,170,1000
108,830,0,170,1000
109,913,0,87,1000
110,956,0,44,1000
111,956,0,44,1000
112,956,0,44,1000
113,956,0,44,1000
114,956,0,44,1000
115,956,0,44,1000
116,956,0,44,1000
117,956,0,44,1000
